NÚM.,TOM,MOST.,NOM CIENTÍFIC A HCBPFQ,FAMÍLIA HCBPFQ,NOM CIENTÍFIC A FMPC 2005,FAMÍLIA FMPC 2005,Nom vulgar,Enllaç al Medi Natural del Bages,Comentaris,Amaga
497,8,1,Centranthus ruber,Valerianáceas,Centranthus ruber,Valerianàcies,Herba de sant Jordi,https://elmedinaturaldelbages.cat/species/herba-de-sant-jordi-centranthus-ruber/,,
69,2,1,Cephalanthera ensifolia,Orquidáceas,Cephalanthera longifolia,Orquidàcies,Curraià blanc,https://elmedinaturaldelbages.cat/species/curraia-blanc-cephalanthera-longifolia/,,
70,2,1,Cephalanthera rubra ,Orquidáceas,Cephalanthera rubra ,Orquidàcies,Curraià vremell,https://elmedinaturaldelbages.cat/species/curraia-vermell-cephalanthera-rubra/,,
487,8,1,Cephalaria leucantha ,Dipsacáceas,Cephalaria leucantha ,Dipsacàcies,Escabiosa blanca,https://elmedinaturaldelbages.cat/species/atxa-escabiosa-blanca-cephalaria-leucantha/,,
316,5,1,Cerastium glomeratum ,Cariofiláceas,Cerastium glomeratum ,Cariofil·làcies,Cerasti,https://elmedinaturaldelbages.cat/species/cerasti-aglomerat-cerastium-glomeratum/,,
16,1,1,Ceterach officinarum,Polipodiáceas,Ceterach officinarum,Polipodiàcies,Dauradella (Ceterach officinarum),https://elmedinaturaldelbages.cat/species/dauradella-ceterach-officinarum/,,
430,7,1,Chaenorrhinum minus,Escrofulariáceas,Chaenorhinum minus subsp. minus,Escrofulariàcies,Matacabrit,,,
431,7,1,Chaenorrhinum flexuosum,Escrofulariáceas,Chaenorhinum origanifolium subsp. cadevallii,Escrofulariàcies,Linària origanifòlia,https://elmedinaturaldelbages.cat/species/linaria-origanifolia-chaenorhinum-origanifolium-ssp-cadevallii/,,
196,4,1,Cytisus Gallicus,Papilionáceas,Chamaecytisus supinus,Papilionàcies,Ginestola gàl·lica,https://elmedinaturaldelbages.cat/species/ginestola-gallica-chamaecytisus-supinus/,,
131,3,1,Cheiranthus Cheiri,Crucíferas,Cheiranthus cheiri,Crucíferes,Violer groc,,,
113,2,1,Chenopodium Botrys,Quenopodiáceas,Chenopodium botrys,Quenopodiàcies,Bodris,,,
114,2,1,Chenopodium vulvaria ,Quenopodiáceas,Chenopodium vulvaria ,Quenopodiàcies,Blet pudent,https://elmedinaturaldelbages.cat/species/blet-pudent-vulvaria-pixaca-chenopodium-vulvaria/,,
526,9,1,Chrysanthemum segetum,Compuestas,Chrysanthemum segetum,Compostes,Ull de bou,,,
527,9,1,Cichorium intybus ,Compuestas,Cichorium intybus ,Compostes,Xicoira,https://elmedinaturaldelbages.cat/species/xicoira-cichorium-intybus/,,
20,1,1,Cistus albidus ,Cistáceas,Cistus albidus ,Cistàcies,Estepa blanca,https://elmedinaturaldelbages.cat/species/estepa-blanca-cistus-albidus/,,
21,1,1,Cistus salviifolius ,Cistáceas,Cistus salviifolius ,Cistàcies,Estepa borrera,https://elmedinaturaldelbages.cat/species/estepa-borrera-cistus-salviifolius/,,
270,5,1,Clematis Flammula ,Ranunculáceas,Clematis flammula ,Ranunculàcies,Vidiella,https://elmedinaturaldelbages.cat/species/vidiella-clematis-flammula/,,
271,5,1,Clematis recta,Ranunculáceas,Clematis recta,Ranunculàcies,Vidalba recta,https://elmedinaturaldelbages.cat/species/vidalba-recta-herba-bormera-clematis-recta/,,
272,5,1,Clematis Vitalba,Ranunculáceas,Clematis vitalba,Ranunculàcies,Vidalba,https://elmedinaturaldelbages.cat/species/vidalba-clematis-vitalba/,,
132,3,1,Clypeola Jonthlaspi,Crucíferas,Clypeola jonthlaspi,Crucíferes,Crenolla de roca,,,
192,4,1,Colutea arborescens ,Papilionáceas,Colutea arborescens ,Papilionàcies,Espantallops,https://elmedinaturaldelbages.cat/species/espantallops-colutea-arborescens/,,
379,6,1,Conopodium ramosum,Umbelíferas,Conopodium majus subsp. ramosum,Umbel·líferes,Anyol,https://elmedinaturaldelbages.cat/species/anyol-castanya-de-terra-conopodium-majus-ssp-ramosum/,,
133,3,1,Conringia orientalis,Crucíferas,Conringia orientalis,Crucíferes,Conríngia,,,
353,6,1,Convolvulus arvensis ,Convolvuláceas,Convolvulus arvensis ,Convolvulàcies,Corretjola,https://elmedinaturaldelbages.cat/species/corretjola-convolvulus-arvensis/,,
354,6,1,Convolvulus cantabrica,Convolvuláceas,Convolvulus cantabrica,Convolvulàcies,Corretjola cantàbrica,https://elmedinaturaldelbages.cat/species/corretjola-cantabrica-convolvulus-cantabrica/,,
355,6,2,Convolvulus lanuginosus (1),Convolvuláceas,Convolvulus lanuginosus (1),Convolvulàcies,Campanera (1),https://elmedinaturaldelbages.cat/species/campanera-capdellada-convolvulus-lanuginosus/,,
,6,2,Convolvulus lanuginosus (2),Convolvuláceas,Convolvulus lanuginosus (2),Convolvulàcies,Campanera (2),https://elmedinaturaldelbages.cat/species/campanera-capdellada-convolvulus-lanuginosus/,,
356,6,1,Convolvulus lineatus,Convolvuláceas,Convolvulus lineatus,Convolvulàcies,Corrretjola ratllada,https://elmedinaturaldelbages.cat/species/corretjola-ratllada-convolvulus-lineatus/,,
528,9,1,Conyza ambigua,Compuestas,Erigeron bonariensis,Compostes,Erígeron cresp,https://elmedinaturaldelbages.cat/species/erigeron-cresp-erigeron-bonariensis/,,
533,9,1,Erigeron canadensis,Compuestas,Erigeron canadensis,Compostes,Erígeron canadenc,https://elmedinaturaldelbages.cat/species/erigeron-canadenc-erigeron-canadensis/,,
265,4,1,Coriaria myrtifolia,Coriariáceas,Coriaria myrtifolia,Coriariàcies,Roldor,https://elmedinaturaldelbages.cat/species/roldor-coriaria-myrtifolia/,,
595,10,1,Coris Monspeliensis,Primuláceas,Coris monspeliensis,Primulàcies,Pinzell (Coris monspeliensis),https://elmedinaturaldelbages.cat/species/pinell-pinzell-farigola-mascle-coris-monspeliensis/,,
394,6,1,Cornus sanguinea,Cornáceas,Cornus sanguinea,Cornàcies,Sanguinyol,https://elmedinaturaldelbages.cat/species/sanguinyol-cornus-sanguinea/,,
193,4,1,Coronilla Emerus,Papilionáceas,Coronilla emerus subsp. emerus,Papilionàcies,Coronil·la boscana,https://elmedinaturaldelbages.cat/species/coronilla-boscana-coronilla-emerus-subsp-emerus/,,
194,4,1,Coronilla minima,Papilionáceas,Coronilla minima,Papilionàcies,Coronil·la mínima,https://elmedinaturaldelbages.cat/species/coronilla-minima-coronilla-minima-ssp-lotoides/,,
195,4,1,Coronilla scorpioides ,Papilionáceas,Coronilla scorpioides ,Papilionàcies,Herba de l'escorpí,https://elmedinaturaldelbages.cat/species/herba-de-lescorpi-coronilla-scorpioides/,,
358,6,1,Crataegus monogyna,Pomáceas,Crataegus monogyna,Rosàcies,Arç blanc,https://elmedinaturaldelbages.cat/species/arc-blanc-crataegus-monogyna/,,
511,9,1,Barkhausia albida,Compuestas,Crepis albida,Compostes,Crepis,https://elmedinaturaldelbages.cat/species/crepis-albida/,,
512,9,1,Barkhausia taraxacifolia,Compuestas,Crepis vesicaria subsp. taraxacifolia,Compostes,Cap roig,https://elmedinaturaldelbages.cat/species/cap-roig-crepis-vesicaria-subsp-taraxacifolia/,,
483,8,1,Galium vernum ,Rubiáceas,Cruciata glabra,Rubiàcies,Te de bosc,https://elmedinaturaldelbages.cat/species/te-de-bosc-cruciata-glabra-galium-vernum/,,
529,9,1,Crupina vulgaris ,Compuestas,Crupina vulgaris ,Compostes,Crupina,https://elmedinaturaldelbages.cat/species/crupina-crupina-vulgaris/,,
464,7,1,Cuscuta Epithymum,Cuscutáceas,Cuscuta epithymum,Convolvulàcies,Cuscuta,https://elmedinaturaldelbages.cat/species/cuscuta-cabells-de-farigola-tinya-cuscuta-epithymum/,,
435,7,1,Linaria cymbalaria,Escrofulariáceas,Cymbalaria muralis,Escrofulariàcies,Picardia,https://elmedinaturaldelbages.cat/species/picardia-cymbalaria-muralis/,,
345,6,1,Cynanchum acutum,Asclepiadáceas,Cynanchum acutum,Asclepiadàcies,Matacà,https://elmedinaturaldelbages.cat/species/mataca-matagos-corretjola-borda-cynanchum-acutum/,,
38,1,1,Cynodon Dactylon,Gramináceas,Cynodon dactylon,Gramínies,Gram,https://elmedinaturaldelbages.cat/species/gram-cynodon-dactylon/,,
466,7,1,Cynoglossum Cheirifolium,Borragináceas,Cynoglossum cheirifolium,Boraginàcies,Besneula de fulla blanca,https://elmedinaturaldelbages.cat/species/besneula-de-fulla-blanca-cynoglossum-cheirifolium/,,
467,7,1,Cynoglossum pictum,Borragináceas,Cynoglossum creticum,Boraginàcies,Llengua de ca,https://elmedinaturaldelbages.cat/species/llengua-de-ca-besneula-cynoglossum-creticum/,,
39,1,1,Cynosurus echinatus,Gramináceas,Cynosurus echinatus,Gramínies,Cinosur,,,
5,1,1,Cyperus globosus,Ciperáceas,Cyperus flavidus,Ciperàcies,Cíperus globós,,,
6,1,1,Cyperus olivaris ,Ciperáceas,Cyperus rotundus ,Ciperàcies,Castanyola,https://elmedinaturaldelbages.cat/species/castanyola-cyperus-rotundus/,,
197,4,1,Cytisus sessilifolius,Papilionáceas,Cytisophyllum sessilifolium,Papilionàcies,Ginesta sessilifòlia,https://elmedinaturaldelbages.cat/species/ginesta-sessilifolia-cytisophyllum-sessilifolium/,,
92,2,1,Daphne Gnidium,Timeleáceas,Daphne gnidium,Timeleàcies,Matapoll,https://elmedinaturaldelbages.cat/species/matapoll-daphne-gnidium/,,
93,2,1,Daphne Laureola ,Timeleáceas,Daphne laureola ,Timeleàcies,Lloreret,https://elmedinaturaldelbages.cat/species/lloreret-daphne-laureola/,,
458,7,1,Datura stramonium,Solanáceas,Datura stramonium,Solanàcies,Estramoni,https://elmedinaturaldelbages.cat/species/estramoni-herba-talpera-datura-stramonium/,,
380,6,1,Daucus carota ,Umbelíferas,Daucus carota subsp. carota ,Umbel·líferes,Pastanaga borda,https://elmedinaturaldelbages.cat/species/pastanaga-borda-daucus-carota-ssp-carota/,,
381,6,1,Daucus maximus ,Umbelíferas,Daucus carota subsp. maximus ,Umbel·líferes,Pastanaga d'ase,,,
274,5,1,Delphinium elatum,Ranunculáceas,Delphinium elatum subsp. montanum,Ranunculàcies,Esperó de muntanya,,,
273,5,1,Delphinium cardiopetalum,Ranunculáceas,Delphinium peregrinum subsp. verdunense,Ranunculàcies,Esperó de cavaller,https://elmedinaturaldelbages.cat/species/espero-de-cavaller-banyeta-delphinium-peregrinum-d-halteratum-ssp-verdunense/,,
275,5,1,Delphinium pubescens,Ranunculáceas,Delphinium pubescens,Ranunculàcies,Pelicans,,,
317,5,1,Dianthus caryophillus,Cariofiláceas,Dianthus caryophyllus,Cariofil·làcies,Clavellina,,,
31,1,1,Andropogon  Ischaemum,Gramináceas,Dichanthium ischaemum,Gramínies,Albellatge fasciculat,https://elmedinaturaldelbages.cat/species/albellatge-fasciculat-dichanthium-ischaemum/,,
432,7,1,Digitalis lutea ,Escrofulariáceas,Digitalis lutea ,Escrofulariàcies,Didalera groga,https://elmedinaturaldelbages.cat/species/didalera-groga-digitalis-lutea/,,
61,1,1,Uropetalum serotinum,Liliáceas,Dipcadi serotinum,Liliàcies,Marcet,https://elmedinaturaldelbages.cat/species/marcet-dipcadi-serotinum/,,
134,3,1,Diplotaxis erucoides ,Crucíferas,Diplotaxis erucoides ,Crucíferes,Ravenissa blanca,https://elmedinaturaldelbages.cat/species/ravenissa-blanca-diplotaxis-erucoides/,,
135,3,1,Diplotaxis tenuifolia,Crucíferas,Diplotaxis tenuifolia,Crucíferes,Crèspol,,,
530,9,1,Doronicum cordatum ,Compuestas,Doronicum pardalianches,Compostes,Dorònic,https://elmedinaturaldelbages.cat/species/doronic-cordat-doronicum-pardalianches/,,
198,4,1,Dorycnium sufruticosum ,Papilionáceas,Dorycnium pentaphyllum subsp. pentaphyllum,Papilionàcies,Botja d'escombres,https://elmedinaturaldelbages.cat/species/botja-descombres-dorycnium-pentaphyllum-subsp-pentaphyllum/,,
136,3,1,Draba muralis,Crucíferas,Draba muralis,Crucíferes,Draba de paret,,,
531,9,1,Echinops ritro,Compuestas,Echinops ritro subsp. ritro,Compostes,Panical blau,https://elmedinaturaldelbages.cat/species/panical-blau-echinops-ritro-subsp-ritro/,,
469,7,1,Echium vulgare,Borragináceas,Echium vulgare,Boraginàcies,Llengua de bou,https://elmedinaturaldelbages.cat/species/llengua-de-bou-echium-vulgare-ssp-argentae/,,
7,1,1,Heleocharis palustris,Ciperáceas,Eleocharis palustris,Ciperàcies,Escirp de marjals,,,
344,6,1,Epilobium hirsutum ,Enoteráceas,Epilobium hirsutum ,Onagràcies,Niella de rec,https://elmedinaturaldelbages.cat/species/matajaia-niella-de-rec-epilobium-hirsutum/,,
71,2,1,Epipactis latifolia,Orquidáceas,Epipactis helleborine ,Orquidàcies,Epipactis de fulla ampla,https://elmedinaturaldelbages.cat/species/epipactis-de-fulla-ampla-epipactis-helleborine-ssp-tremolsii/,,
72,2,1,Epipactis palustris,Orquidáceas,Epipactis palustris,Orquidàcies,Epipactis palustre,,,
40,1,1,Eragrostis poaeoides,Gramináceas,Eragrostis minor,Gramínies,Eragrostis menuda,,,
584,10,1,Erica arborea,Ericáceas,Erica arborea,Ericàcies,Bruc,https://elmedinaturaldelbages.cat/species/bruc-boal-erica-arborea/,,
585,10,1,Erica multiflora,Ericáceas,Erica multiflora,Ericàcies,Bruc d'hivern,https://elmedinaturaldelbages.cat/species/bruc-dhivern-erica-multiflora/,,
532,9,1,Erigeron acris,Compuestas,Erigeron acer,Compostes,Erígeron acre,https://elmedinaturaldelbages.cat/species/erigeron-erigeron-acer/,,
433,7,1,Erinus Alpinus ,Escrofulariáceas,Erinus alpinus ,Escrofulariàcies,Erinus,https://elmedinaturaldelbages.cat/species/erinus-erinus-alpinus/,,
296,5,1,Erodium supracanum,Geraniáceas,Erodium foetidum subsp. rupestre,Geraniàcies,Cargola de roca de Montserrat,https://elmedinaturaldelbages.cat/species/cargola-de-roca-de-montserrat-erodium-foetidum-ssp-rupestre/,,
295,5,1,Erodium malacoides ,Geraniáceas,Erodium malacoides ,Geraniàcies,Filamaria,https://elmedinaturaldelbages.cat/species/filamaria-erodium-malacoides/,,
137,3,1,Erophila verna,Crucíferas,Erophila verna,Crucíferes,Eròfila,https://elmedinaturaldelbages.cat/species/erofila-erophila-verna/,,
138,3,1,Erucastrum obtusangulum,Crucíferas,Erucastrum nasturtiifolium subsp. nasturtiifolium,Crucíferes,Ravenissa groga,https://elmedinaturaldelbages.cat/species/ravenissa-groga-erucastrum-nasturtiifolium-ssp-nasturtiifolium/,,
139,3,1,Erysimum australe,Crucíferas,Erysimum grandiflorum,Crucíferes,Erísim de flor gran,https://elmedinaturaldelbages.cat/species/erisim-de-flor-gran-erysimum-grandiflorum/,,
534,9,1,Eupatorium cannabinum,Compuestas,Eupatorium cannabinum subsp. cannabinum,Compostes,Canabassa,https://elmedinaturaldelbages.cat/species/canabassa-eupatorium-cannabinum-subsp-cannabinum/,,
156,3,1,Euphorbia amygdaloides,Euforbiáceas,Euphorbia amygdaloides subsp. amygdaloides,Euforbiàcies,Lleteresa de bosc,https://elmedinaturaldelbages.cat/species/lleteresa-de-bosc-euphorbia-amygdaloides-subsp-amygdaloides/,,
157,3,1,Euphorbia Chamaesyce,Euforbiáceas,Euphorbia chamaesyce subsp. chamaesyce,Euforbiàcies,Lleteresa prostrada,https://elmedinaturaldelbages.cat/species/euphorbia-chamaesyce-euphorbia-chamaesyce-subsp-chamaesyce/,,
158,3,1,Euphorbia Characias,Euforbiáceas,Euphorbia characias subsp. characias,Euforbiàcies,Lleteresa vera,https://elmedinaturaldelbages.cat/species/lleteresa-vera-vesquera-euphorbia-characias-subsp-characias/,,
159,3,1,Euphorbia Cyparissias ,Euforbiáceas,Euphorbia cyparissias ,Euforbiàcies,Lleteresa de fulla estreta,https://elmedinaturaldelbages.cat/species/lleteresa-de-fulla-estreta-euphorbia-cyparissias/,,
160,3,1,Euphorbia esula,Euforbiáceas,Euphorbia esula subsp. saratoi,Euforbiàcies,Lleteresa de séquia,,,
161,3,1,Euphorbia exigua,Euforbiáceas,Euphorbia exigua subsp. exigua,Euforbiàcies,Lleterola exígua,,,
162,3,1,Euphorbia falcata,Euforbiáceas,Euphorbia falcata,Euforbiàcies,Lleteresa falcada,,,
163,3,1,Euphorbia Nicaensis,Euforbiáceas,Euphorbia nicaeensis subsp. nicaeensis,Euforbiàcies,Lleteresa nicenca,https://elmedinaturaldelbages.cat/species/lleteresa-nicenca-lletera-nicenca-euphorbia-nicaeensis/,,
164,3,1,Euphorbia Peplus ,Euforbiáceas,Euphorbia peplus ,Euforbiàcies,Herba de llet,https://elmedinaturaldelbages.cat/species/lleterola-peplus-euphorbia-peplus/,,
165,3,1,Euphorbia segetalis,Euforbiáceas,Euphorbia segetalis subsp. segetalis ,Euforbiàcies,Lleteresa de camp,https://elmedinaturaldelbages.cat/species/lleteresa-de-camp-euphorbia-segetalis-ssp-segetalis/,,
166,3,1,Euphorbia serrata,Euforbiáceas,Euphorbia serrata,Euforbiàcies,Lleteresa serrada,https://elmedinaturaldelbages.cat/species/lleteresa-serrada-lletera-serrada-euphorbia-serrata/,,
434,7,1,Euphrasia pectinata,Escrofulariáceas,Euphrasia stricta subsp. pectinata,Escrofulariàcies,Eufràsia,,,
535,9,1,Filago Germanica,Compuestas,Filago pyramidata,Compostes,Herba cotonera,https://elmedinaturaldelbages.cat/species/herba-del-borm-herba-cotonera-filago-pyramidata/,,
362,6,1,Fragaria vesca,Rosáceas,Fragaria vesca,Rosàcies,Maduixera,https://elmedinaturaldelbages.cat/species/maduixera-fragaria-vesca/,,
54,1,1,Fritillaria Boissieri ,Liliáceas,Fritillaria pyrenaica subsp. boissieri ,Liliàcies,Fritil·lària,https://elmedinaturaldelbages.cat/species/fritillaria-fritillaria-pyrenaica/,,
256,4,1,Fumaria agraria,Fumariáceas,Fumaria agraria,Papaveràcies,Colomina,,,
257,4,1,Fumaria capreolata ,Fumariáceas,Fumaria capreolata ,Papaveràcies,Fumària enfiladissa,https://elmedinaturaldelbages.cat/species/fumaria-enfiladissa-fumaria-capreolata/,,
258,4,1,Fumaria densiflora,Fumariáceas,Fumaria densiflora,Papaveràcies,Conillets (Fumaria densiflora),,,
259,4,1,Fumaria officinalis ,Fumariáceas,Fumaria officinalis ,Papaveràcies,Fumària oficinal,https://elmedinaturaldelbages.cat/species/fumaria-oficinal-fumaria-officinalis/,,
260,4,1,Fumaria parviflora ,Fumariáceas,Fumaria parviflora ,Papaveràcies,Fumària de flor menuda,,,
405,7,1,Galeopsis Ladanum,Labiadas,Galeopsis ladanum,Labiades,Galeopsis,,,
481,8,1,Galium Aparine ,Rubiáceas,Galium aparine ,Rubiàcies,Apegalosa,https://elmedinaturaldelbages.cat/species/apegalos-o-apegalosa-galium-aparine/,,
482,8,1,Galium maritimum,Rubiáceas,Galium maritimum,Rubiàcies,Llàgrimes d'ase,,,
484,8,1,Galium verum,Rubiáceas,Galium verum subsp. verum,Rubiàcies,Espunyidella groga,https://elmedinaturaldelbages.cat/species/espunyidella-groga-galium-verum-subsp-verum/,,
201,4,1,Genista cinerea,Papilionáceas,Genista cinerea,Papilionàcies,Ginestell,https://elmedinaturaldelbages.cat/species/ginestell-genista-cinerea-ssp-ausetana/,,
202,4,1,Genista Hispanica ,Papilionáceas,Genista hispanica ,Papilionàcies,Argelagó,https://elmedinaturaldelbages.cat/species/argelago-ginesta-cascaula-genista-hispanica/,,
297,5,1,Geranium columbinum,Geraniáceas,Geranium columbinum,Geraniàcies,Gerani de colom,https://elmedinaturaldelbages.cat/species/gerani-de-colom-geranium-columbinum/,,
298,5,1,Geranium dissectum,Geraniáceas,Geranium dissectum,Geraniàcies,Gerani de fulles retallades,https://elmedinaturaldelbages.cat/species/gerani-de-fulles-retallades-geranium-dissectum/,,
299,5,1,Geranium lucidum,Geraniáceas,Geranium lucidum,Geraniàcies,Gerani lluent,,,
300,5,1,Geranium molle ,Geraniáceas,Geranium molle ,Geraniàcies,Suassana blanca,https://elmedinaturaldelbages.cat/species/suassana-blana-geranium-molle/,,
301,5,1,Geranium rotundifolium,Geraniáceas,Geranium rotundifolium,Geraniàcies,Suassana,,,
302,5,1,Geranium sanguineum ,Geraniáceas,Geranium sanguineum ,Geraniàcies,Gerani sanguini,https://elmedinaturaldelbages.cat/species/gerani-sanguini-geranium-sanguineum/,,
363,6,1,Geum urbanum,Rosáceas,Geum urbanum,Rosàcies,Herba de sant Benet,https://elmedinaturaldelbages.cat/species/herba-de-sant-benet-geum-urbanum/,,
88,2,1,Gladiolus Illyricus,Iridáceas,Gladiolus illyricus,Iridàcies,Gladiol,https://elmedinaturaldelbages.cat/species/gladiol-espaseta-coltell-gladiolus-illyricus-g-communis-ssp-illyricus/,,
252,4,1,Glaucium luteum,Papaveráceas,Glaucium flavum,Papaveràcies,Cascall marí,,,
586,10,1,Globularia Alypum,Globulariáceas,Globularia alypum,Globulariàcies,Foixarda,https://elmedinaturaldelbages.cat/species/foixarda-globularia-alypum/,,
587,10,1,Globularia nana,Globulariáceas,Globularia cordifolia subsp.repens,Globulariàcies,Lluqueta de roca,https://elmedinaturaldelbages.cat/species/lluqueta-de-roca-globularia-cordifolia-ssp-repens/,,
588,10,1,Globularia vulgaris,Globulariáceas,Globularia vulgaris,Globulariàcies,Senet de pobre,https://elmedinaturaldelbages.cat/species/senet-de-pobre-globularia-vulgaris/,,
536,9,1,Gnaphalium luteo-album,Compuestas,Gnaphalium luteo-album,Compostes,Borrosa,,,
